asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv1009	0.58	0.31	0.25	0.11	-0.12	-0.04	0.25	0.31	0.12
asv1010	0.57	0.24	0.3	0.19	-0.1	-0.08	0.34	0.41	0.24
asv1019	0.46	0.23	0.17	-0.03	-0.17	0.09	0.25	0.33	0.18
asv1057	0.11	-0.17	0.18	0.13	-0.02	-0.02	0.4	0.46	0.48
asv1063	0.65	0.41	0.33	0.35	0.01	-0.28	0.15	0.15	-0.07
asv1085	0.15	-0.14	0.2	0.15	-0.03	-0.04	0.41	0.47	0.47
asv1098	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv1102	0.4	0.28	0.15	0.1	-0.05	-0.07	0.07	0.08	-0.06
asv1115	0.02	-0.05	-0.09	-0.36	-0.23	0.36	0.14	0.24	0.23
asv1122	0.65	0.4	0.33	0.35	0.01	-0.28	0.16	0.16	-0.05
asv1125	0.39	0.17	0.19	0.1	-0.08	-0.03	0.22	0.27	0.15
asv1132	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1155	0.11	-0.13	0.11	-0.06	-0.12	0.14	0.37	0.46	0.46
asv1159	0.54	0.3	0.23	0.11	-0.11	-0.04	0.21	0.26	0.09
asv1177	0.57	0.29	0.27	0.14	-0.11	-0.06	0.27	0.33	0.15
asv1206	0.64	0.43	0.3	0.32	0	-0.26	0.11	0.1	-0.11
asv1220	0.03	0.01	-0.1	-0.35	-0.21	0.33	0.05	0.14	0.11
asv1223	0.66	0.4	0.35	0.38	0.02	-0.3	0.18	0.18	-0.04
asv1243	0.6	0.26	0.34	0.26	-0.06	-0.15	0.34	0.39	0.22
asv1275	-0.06	-0.02	-0.13	-0.33	-0.16	0.3	-0.01	0.05	0.05
asv1295	0.35	0.13	0.13	-0.1	-0.19	0.15	0.26	0.36	0.25
asv1296	0.42	0.3	0.22	0.28	0.04	-0.24	0.05	0.02	-0.12
asv1304	0.37	0.05	0.27	0.21	-0.04	-0.1	0.38	0.43	0.35
asv1309	0.47	0.24	0.21	0.08	-0.11	-0.01	0.23	0.29	0.13
asv1313	0.66	0.43	0.33	0.36	0.01	-0.29	0.14	0.13	-0.09
asv1317	0.44	0.26	0.26	0.32	0.05	-0.26	0.12	0.11	-0.03
asv1336	0.44	0.14	0.22	0.04	-0.14	0.05	0.35	0.44	0.31
asv1343	0.3	0.2	0.04	-0.18	-0.19	0.19	0.1	0.18	0.06
asv1360	0.47	0.32	0.2	0.16	-0.04	-0.12	0.08	0.1	-0.07
asv1361	0.45	0.2	0.19	0	-0.16	0.07	0.27	0.36	0.21
asv1367	0.65	0.36	0.32	0.27	-0.06	-0.18	0.24	0.28	0.07
asv1369	0.51	0.26	0.25	0.16	-0.08	-0.09	0.23	0.28	0.11
